                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2732,                 4.0567,                 2.0276,                0.00449,                0.03648,                0.00244,                  0.001,                 2.5178,                 3.9167,                 1.5653,                      0,                      0,                      0
                      2,                 3.5046,                 4.0997,                 2.0123,                0.00452,                0.03648,                0.00248,                0.00099,                 2.5263,                 3.9162,                 1.5709,             1.6653e-05,             1.6653e-05,             1.6653e-05
                      3,                 3.1335,                 4.0576,                 1.9313,                0.00429,                0.03433,                0.00233,                0.00083,                 2.5337,                  3.917,                 1.5756,             3.3274e-05,             3.3274e-05,             3.3274e-05
                      4,                 3.2387,                 4.0671,                 1.9881,                0.00405,                0.03219,                0.00218,                0.00072,                 2.5395,                 3.9153,                 1.5797,             4.9861e-05,             4.9861e-05,             4.9861e-05
                      5,                 3.1803,                 4.0657,                 2.0193,                0.00354,                 0.0279,                0.00189,                0.00071,                 2.5492,                 3.9152,                 1.5849,             6.6416e-05,             6.6416e-05,             6.6416e-05
                      6,                  3.351,                 4.0868,                 2.0446,                0.00305,                0.02361,                0.00162,                0.00066,                 2.5552,                 3.9175,                 1.5894,             8.2937e-05,             8.2937e-05,             8.2937e-05
                      7,                 3.1031,                 4.0411,                 1.9872,                0.01351,                0.10086,                0.00828,                 0.0034,                  2.373,                 3.8547,                 1.4103,             9.9426e-05,             9.9426e-05,             9.9426e-05
                      8,                 2.7162,                 3.9774,                 1.6846,                0.03035,                0.22025,                  0.022,                0.00977,                 2.3154,                 3.7713,                 1.2831,             0.00011588,             0.00011588,             0.00011588
                      9,                  2.401,                 3.8957,                 1.4172,                 0.0383,                0.28385,                0.03354,                0.01518,                 2.1979,                 3.7303,                 1.1938,              0.0001323,              0.0001323,              0.0001323
                     10,                 2.1748,                 3.7765,                 1.3368,                0.04484,                0.34901,                0.04355,                0.02045,                   2.05,                 3.7046,                 1.1348,             0.00014869,             0.00014869,             0.00014869
                     11,                 1.9963,                 3.6365,                 1.2402,                0.04606,                 0.3691,                0.04897,                0.02442,                 1.9269,                 3.6732,                 1.0875,             0.00016505,             0.00016505,             0.00016505
                     12,                  2.011,                 3.4913,                 1.1744,                0.04794,                0.38412,                0.05286,                0.02831,                  1.847,                 3.6284,                 1.0486,             0.00018137,             0.00018137,             0.00018137
                     13,                 1.8905,                  3.281,                 1.1237,                0.04943,                0.39056,                0.05404,                0.03047,                 1.8097,                 3.5819,                 1.0248,             0.00019766,             0.00019766,             0.00019766
                     14,                 1.9634,                 3.0373,                 1.0705,                0.04831,                0.38627,                0.05573,                0.03014,                 1.7992,                 3.5308,                 1.0151,             0.00021392,             0.00021392,             0.00021392
                     15,                 1.8684,                 2.8624,                 1.1004,                0.04976,                0.40343,                0.08176,                0.04713,                 1.7935,                 3.4543,                 1.0107,             0.00023015,             0.00023015,             0.00023015
                     16,                 1.9195,                 2.6651,                  1.034,                0.04961,                0.40987,                0.19435,                  0.111,                 1.8198,                 3.3647,                 1.0118,             0.00024634,             0.00024634,             0.00024634
                     17,                 1.8046,                 2.4175,                 1.0207,                0.04827,                0.40773,                0.25131,                0.13314,                 1.8665,                 3.2598,                 1.0254,              0.0002625,              0.0002625,              0.0002625
                     18,                 1.8223,                 2.2603,                 1.0192,                0.05112,                0.43133,                0.27045,                0.13764,                 1.8752,                 3.1622,                 1.0308,             0.00027862,             0.00027862,             0.00027862
                     19,                 1.7449,                 2.0485,                0.98351,                0.05433,                0.44128,                0.28935,                0.14741,                 1.9151,                 3.0859,                 1.0373,             0.00029471,             0.00029471,             0.00029471
                     20,                  1.791,                 1.9084,                0.98214,                0.12519,                0.37124,                0.29191,                0.15098,                 1.9217,                 3.0219,                 1.0439,             0.00031077,             0.00031077,             0.00031077
                     21,                 1.7517,                 1.8206,                0.99443,                0.76138,                0.31263,                0.29836,                0.16703,                 1.8982,                  2.989,                 1.0449,              0.0003268,              0.0003268,              0.0003268
                     22,                 1.7482,                 1.8565,                 1.0155,                0.06159,                0.41631,                0.28555,                0.16987,                 1.9534,                  3.037,                 1.0717,             0.00034279,             0.00034279,             0.00034279
                     23,                 1.7244,                 1.6333,                0.97745,                0.06579,                0.38627,                0.25369,                0.15319,                 1.9561,                 3.1233,                 1.0879,             0.00035875,             0.00035875,             0.00035875
                     24,                 1.7119,                 1.7659,                0.98407,                0.06651,                0.37339,                0.23739,                0.14837,                 1.8881,                 3.1328,                 1.0792,             0.00037468,             0.00037468,             0.00037468
                     25,                  1.612,                 1.6203,                0.98351,                0.06948,                0.37124,                  0.246,                0.14936,                 1.9012,                 3.1027,                 1.0796,             0.00039057,             0.00039057,             0.00039057
                     26,                 1.6343,                 1.5157,                0.95804,                0.89007,                0.15991,                 0.2669,                0.16291,                 1.9115,                 2.9274,                 1.0733,             0.00040644,             0.00040644,             0.00040644
                     27,                 1.5774,                 1.5087,                0.95568,                0.91018,                0.14592,                0.29345,                0.17834,                 1.9059,                 2.7339,                 1.0598,             0.00042226,             0.00042226,             0.00042226
                     28,                 1.6064,                 1.4997,                0.95576,                0.91151,                0.21888,                 0.3352,                 0.1988,                 1.8678,                 2.4813,                  1.043,             0.00043806,             0.00043806,             0.00043806
                     29,                  1.547,                 1.3604,                0.94339,                0.92082,                0.27372,                0.36459,                0.21606,                 1.8579,                 2.3322,                 1.0316,             0.00045382,             0.00045382,             0.00045382
                     30,                  1.531,                 1.3377,                0.95125,                0.90402,                0.29808,                0.37792,                0.22158,                 1.8829,                 2.2664,                 1.0352,             0.00046955,             0.00046955,             0.00046955
                     31,                 1.5326,                 1.3793,                0.95614,                 0.9126,                0.28368,                0.38273,                 0.2268,                 1.9011,                 2.2769,                  1.042,             0.00048525,             0.00048525,             0.00048525
                     32,                 1.5663,                 1.3288,                0.95311,                0.92495,                0.24301,                0.41591,                0.23803,                 1.8933,                 2.2942,                 1.0387,             0.00050091,             0.00050091,             0.00050091
                     33,                   1.59,                 1.3432,                 0.9589,                0.90085,                0.28541,                0.48252,                0.25299,                 1.8664,                 2.2952,                 1.0266,             0.00051654,             0.00051654,             0.00051654
                     34,                 1.5955,                 1.2738,                  0.953,                 0.5236,                0.54943,                0.49932,                0.24768,                 1.9014,                  2.278,                 1.0361,             0.00053214,             0.00053214,             0.00053214
                     35,                  1.553,                 1.1857,                0.96065,                0.34615,                 0.6952,                0.50836,                0.25229,                 1.8834,                   2.27,                 1.0319,              0.0005477,              0.0005477,              0.0005477
                     36,                 1.5413,                 1.0893,                0.94327,                0.36348,                0.69794,                0.51012,                0.24641,                 1.8419,                 2.3029,                 1.0243,             0.00056323,             0.00056323,             0.00056323
                     37,                 1.5978,                 1.1665,                0.94933,                0.59116,                0.51019,                0.52591,                0.25378,                  1.803,                  2.287,                 1.0164,             0.00057873,             0.00057873,             0.00057873
                     38,                 1.5606,                 1.0391,                0.94345,                0.67326,                0.39713,                0.52864,                0.25907,                 1.7772,                  2.243,                 1.0182,              0.0005942,              0.0005942,              0.0005942
                     39,                 1.5593,                 1.0618,                0.95919,                0.65988,                 0.4009,                0.53621,                0.26501,                 1.7555,                 2.2412,                 1.0167,             0.00060963,             0.00060963,             0.00060963
                     40,                 1.4781,                0.99654,                0.93075,                0.65951,                0.37866,                0.52568,                0.26154,                 1.7821,                 2.2502,                 1.0224,             0.00062503,             0.00062503,             0.00062503
                     41,                 1.4602,                0.96446,                0.95377,                0.62744,                0.38861,                0.50258,                0.25135,                 1.8234,                 2.2652,                 1.0374,             0.00064039,             0.00064039,             0.00064039
                     42,                 1.4764,                0.94671,                0.92671,                0.67241,                0.32753,                0.47746,                0.23917,                 1.8259,                 2.2539,                 1.0413,             0.00065573,             0.00065573,             0.00065573
                     43,                 1.6008,                 1.0136,                 0.9296,                0.66834,                0.30226,                0.43511,                0.22102,                 1.7985,                 2.3211,                 1.0378,             0.00067103,             0.00067103,             0.00067103
                     44,                 1.5428,                 1.0029,                0.94273,                0.63586,                0.27958,                0.37279,                0.19196,                 1.8258,                 2.5125,                 1.0602,              0.0006863,              0.0006863,              0.0006863
                     45,                 1.5141,                0.96969,                0.94872,                0.63085,                 0.2562,                0.32218,                0.15566,                 1.8553,                 2.6547,                 1.0826,             0.00070153,             0.00070153,             0.00070153
                     46,                 1.4408,                0.96223,                0.92905,                0.66829,                0.22805,                0.29821,                0.14109,                 1.9152,                 2.7432,                 1.1161,             0.00071673,             0.00071673,             0.00071673
                     47,                 1.4505,                0.99951,                0.94861,                0.67757,                0.21647,                0.30174,                0.14795,                 1.8968,                 2.7573,                 1.1193,              0.0007319,              0.0007319,              0.0007319
                     48,                 1.4956,                0.92626,                0.93774,                0.74462,                0.22458,                0.31343,                0.15988,                 1.8414,                 2.7387,                  1.108,             0.00074703,             0.00074703,             0.00074703
                     49,                 1.4771,                0.94625,                0.94373,                0.78101,                 0.2433,                0.35854,                 0.1798,                 1.7605,                 2.6595,                 1.0816,             0.00076214,             0.00076214,             0.00076214
                     50,                 1.3908,                0.93871,                0.92562,                0.73809,                0.27648,                0.42588,                0.20812,                 1.7268,                  2.519,                 1.0572,             0.00077721,             0.00077721,             0.00077721
                     51,                 1.3758,                0.90097,                0.92163,                0.73809,                0.27648,                0.42588,                0.20812,                 1.7268,                  2.519,                 1.0572,             0.00079224,             0.00079224,             0.00079224
                     52,                 1.4022,                0.91227,                0.92759,                0.71928,                  0.387,                0.52894,                0.26732,                 1.6907,                 2.1416,                 1.0233,             0.00080724,             0.00080724,             0.00080724
                     53,                 1.4277,                0.94273,                0.92652,                0.71928,                  0.387,                0.52894,                0.26732,                 1.6907,                 2.1416,                 1.0233,             0.00082222,             0.00082222,             0.00082222
                     54,                 1.3434,                0.84018,                0.92877,                0.72562,                0.48796,                0.56902,                 0.2907,                 1.6827,                 1.9056,                 1.0177,             0.00083715,             0.00083715,             0.00083715
                     55,                 1.3544,                0.86522,                0.91414,                0.72562,                0.48796,                0.56902,                 0.2907,                 1.6827,                 1.9056,                 1.0177,             0.00085206,             0.00085206,             0.00085206
                     56,                 1.4166,                 0.8912,                0.92094,                0.72778,                0.49296,                0.58975,                0.31431,                  1.639,                 1.7412,                 1.0111,             0.00086693,             0.00086693,             0.00086693
                     57,                 1.3354,                0.83169,                0.92533,                0.72778,                0.49296,                0.58975,                0.31431,                  1.639,                 1.7412,                 1.0111,             0.00088177,             0.00088177,             0.00088177
                     58,                 1.4322,                0.88248,                 0.9163,                 0.7346,                0.45892,                0.56832,                0.30043,                 1.6711,                 1.7731,                 1.0198,             0.00089657,             0.00089657,             0.00089657
                     59,                 1.4842,                0.88209,                0.92668,                 0.7346,                0.45892,                0.56832,                0.30043,                 1.6711,                 1.7731,                 1.0198,             0.00091134,             0.00091134,             0.00091134
                     60,                 1.4435,                0.86852,                0.92876,                0.72042,                0.42993,                0.53907,                0.29814,                 1.6782,                 1.8598,                 1.0164,             0.00092608,             0.00092608,             0.00092608
                     61,                 1.3787,                0.86638,                 0.9295,                0.72042,                0.42993,                0.53907,                0.29814,                 1.6782,                 1.8598,                 1.0164,             0.00094079,             0.00094079,             0.00094079
                     62,                 1.4595,                 0.9144,                0.94175,                0.65628,                0.40826,                0.51673,                0.27421,                 1.7748,                 1.9486,                 1.0402,             0.00095546,             0.00095546,             0.00095546
                     63,                 1.4825,                0.85472,                0.93916,                0.65628,                0.40826,                0.51673,                0.27421,                 1.7748,                 1.9486,                 1.0402,              0.0009701,              0.0009701,              0.0009701
                     64,                 1.4436,                0.89297,                   0.95,                0.66376,                 0.3816,                0.50871,                0.27201,                 1.7318,                 2.0095,                  1.025,             0.00098471,             0.00098471,             0.00098471
                     65,                 1.5499,                0.92587,                0.93979,                0.66376,                 0.3816,                0.50871,                0.27201,                 1.7318,                 2.0095,                  1.025,             0.00099928,             0.00099928,             0.00099928
                     66,                 1.4417,                0.88144,                0.92991,                0.66533,                0.33615,                0.48282,                0.28057,                 1.5905,                 2.0719,                0.99323,              0.0010138,              0.0010138,              0.0010138
                     67,                  1.518,                0.89929,                 0.9205,                0.66533,                0.33615,                0.48282,                0.28057,                 1.5905,                 2.0719,                0.99323,              0.0010283,              0.0010283,              0.0010283
                     68,                 1.3185,                0.83201,                0.91905,                0.69029,                0.27968,                0.43659,                 0.2629,                 1.5776,                 2.1964,                0.99824,              0.0010428,              0.0010428,              0.0010428
                     69,                 1.4374,                0.87689,                0.92279,                0.69029,                0.27968,                0.43659,                 0.2629,                 1.5776,                 2.1964,                0.99824,              0.0010572,              0.0010572,              0.0010572
                     70,                 1.4221,                0.86255,                0.92227,                0.60518,                0.25244,                0.39983,                 0.2388,                 1.6037,                  2.331,                  1.013,              0.0010717,              0.0010717,              0.0010717
                     71,                 1.3482,                0.81169,                0.91748,                0.60518,                0.25244,                0.39983,                 0.2388,                 1.6037,                  2.331,                  1.013,               0.001086,               0.001086,               0.001086
                     72,                 1.3977,                0.85458,                0.91965,                0.60783,                0.35507,                0.45198,                0.25414,                  1.664,                  2.153,                 1.0309,              0.0011004,              0.0011004,              0.0011004
                     73,                 1.3569,                0.82729,                0.91576,                0.60783,                0.35507,                0.45198,                0.25414,                  1.664,                  2.153,                 1.0309,              0.0011147,              0.0011147,              0.0011147
                     74,                  1.473,                0.88463,                0.92226,                0.53912,                 0.4222,                0.49309,                0.25917,                 1.6602,                  2.026,                 1.0246,               0.001129,               0.001129,               0.001129
                     75,                 1.3975,                0.84638,                0.91521,                0.53912,                 0.4222,                0.49309,                0.25917,                 1.6602,                  2.026,                 1.0246,              0.0011432,              0.0011432,              0.0011432
                     76,                 1.3649,                0.86619,                0.92089,                0.58281,                0.45322,                0.51857,                0.27532,                 1.6199,                 1.9485,                 1.0127,              0.0011574,              0.0011574,              0.0011574
                     77,                 1.3823,                0.90829,                0.93271,                0.58281,                0.45322,                0.51857,                0.27532,                 1.6199,                 1.9485,                 1.0127,              0.0011716,              0.0011716,              0.0011716
                     78,                 1.3981,                0.82451,                0.92533,                0.61731,                0.41724,                0.50546,                0.27382,                 1.6472,                 1.9934,                 1.0228,              0.0011857,              0.0011857,              0.0011857
                     79,                 1.4121,                0.86301,                0.92352,                0.61731,                0.41724,                0.50546,                0.27382,                 1.6472,                 1.9934,                 1.0228,              0.0011999,              0.0011999,              0.0011999
                     80,                 1.3435,                 0.8219,                0.92278,                0.61581,                0.35566,                0.47312,                0.26749,                 1.6531,                 2.0624,                 1.0192,              0.0012139,              0.0012139,              0.0012139
                     81,                  1.415,                 0.8337,                 0.9167,                0.61581,                0.35566,                0.47312,                0.26749,                 1.6531,                 2.0624,                 1.0192,               0.001228,               0.001228,               0.001228
                     82,                  1.317,                0.82754,                0.94529,                0.67566,                0.28031,                0.43293,                0.23928,                 1.6919,                 2.3084,                 1.0333,               0.001242,               0.001242,               0.001242
                     83,                 1.6991,                0.99891,                 0.9558,                0.67566,                0.28031,                0.43293,                0.23928,                 1.6919,                 2.3084,                 1.0333,               0.001256,               0.001256,               0.001256
                     84,                 1.4575,                0.88573,                0.93585,                0.77213,                0.26575,                 0.4587,                0.26152,                 1.6662,                 2.3188,                 1.0172,              0.0012699,              0.0012699,              0.0012699
                     85,                 1.4073,                0.86566,                0.92363,                0.77213,                0.26575,                 0.4587,                0.26152,                 1.6662,                 2.3188,                 1.0172,              0.0012838,              0.0012838,              0.0012838
                     86,                 1.4416,                0.86372,                0.93599,                0.86081,                0.27475,                0.46299,                0.26856,                 1.6454,                 2.4181,                 1.0111,              0.0012977,              0.0012977,              0.0012977
                     87,                 1.4218,                0.85055,                0.93143,                0.86081,                0.27475,                0.46299,                0.26856,                 1.6454,                 2.4181,                 1.0111,              0.0013116,              0.0013116,              0.0013116
                     88,                 1.3407,                0.83972,                0.92076,                0.91181,                0.29845,                 0.4874,                0.27846,                  1.687,                 2.3481,                  1.017,              0.0013254,              0.0013254,              0.0013254
                     89,                 1.4727,                0.84845,                0.94029,                0.91181,                0.29845,                 0.4874,                0.27846,                  1.687,                 2.3481,                  1.017,              0.0013392,              0.0013392,              0.0013392
                     90,                 1.3645,                0.81693,                0.92465,                0.86714,                0.34108,                0.54941,                0.29554,                 1.7017,                 2.0863,                 1.0079,              0.0013529,              0.0013529,              0.0013529
                     91,                  1.358,                0.78727,                0.91814,                0.86714,                0.34108,                0.54941,                0.29554,                 1.7017,                 2.0863,                 1.0079,              0.0013666,              0.0013666,              0.0013666
                     92,                  1.335,                0.87388,                0.91266,                0.78413,                0.39658,                0.55228,                0.30063,                 1.7102,                 1.8694,                 1.0141,              0.0013803,              0.0013803,              0.0013803
                     93,                 1.4817,                0.86264,                0.93323,                0.78413,                0.39658,                0.55228,                0.30063,                 1.7102,                 1.8694,                 1.0141,               0.001394,               0.001394,               0.001394
                     94,                 1.4675,                0.87711,                 0.9269,                0.77757,                 0.4341,                0.57734,                0.30832,                 1.7001,                 1.7401,                 1.0082,              0.0014076,              0.0014076,              0.0014076
                     95,                 1.4403,                0.85225,                 0.9446,                0.77757,                 0.4341,                0.57734,                0.30832,                 1.7001,                 1.7401,                 1.0082,              0.0014212,              0.0014212,              0.0014212
                     96,                 1.4863,                0.83746,                0.92738,                0.79773,                0.46942,                0.60559,                0.30521,                 1.6836,                 1.6836,                0.99102,              0.0014347,              0.0014347,              0.0014347
                     97,                 1.4301,                0.87801,                   0.96,                0.79773,                0.46942,                0.60559,                0.30521,                 1.6836,                 1.6836,                0.99102,              0.0014482,              0.0014482,              0.0014482
                     98,                 1.4229,                 0.8945,                 0.9162,                 0.7195,                0.49628,                0.62292,                0.30247,                 1.6966,                 1.6016,                0.99803,              0.0014617,              0.0014617,              0.0014617
                     99,                 1.4512,                0.84289,                0.94767,                 0.7195,                0.49628,                0.62292,                0.30247,                 1.6966,                 1.6016,                0.99803,              0.0014752,              0.0014752,              0.0014752
                    100,                 1.4532,                0.84115,                0.92538,                0.68873,                0.49957,                0.58113,                0.29283,                 1.6655,                 1.6168,                0.99205,              0.0014886,              0.0014886,              0.0014886
                    101,                 1.3756,                0.88353,                 0.9275,                0.68873,                0.49957,                0.58113,                0.29283,                 1.6655,                 1.6168,                0.99205,               0.001502,               0.001502,               0.001502
                    102,                 1.3949,                0.83989,                0.93301,                0.71964,                0.50704,                0.61419,                0.31851,                 1.6517,                 1.5837,                0.99064,               0.001502,               0.001502,               0.001502
                    103,                 1.4241,                0.79058,                0.91649,                0.71964,                0.50704,                0.61419,                0.31851,                 1.6517,                 1.5837,                0.99064,              0.0015003,              0.0015003,              0.0015003
                    104,                 1.3544,                0.84566,                 0.9248,                 0.7547,                0.47843,                 0.6145,                0.34487,                  1.618,                 1.5697,                 0.9918,              0.0014987,              0.0014987,              0.0014987
                    105,                 1.4331,                 0.8006,                0.92725,                 0.7547,                0.47843,                 0.6145,                0.34487,                  1.618,                 1.5697,                 0.9918,               0.001497,               0.001497,               0.001497
                    106,                 1.3635,                0.92838,                 0.9228,                 0.7586,                0.45155,                0.57445,                0.31851,                 1.6798,                 1.6625,                 1.0056,              0.0014954,              0.0014954,              0.0014954
                    107,                 1.3604,                0.81528,                0.92059,                 0.7586,                0.45155,                0.57445,                0.31851,                 1.6798,                 1.6625,                 1.0056,              0.0014937,              0.0014937,              0.0014937
                    108,                 1.3869,                0.78985,                0.92322,                0.78297,                0.44704,                0.58541,                0.31819,                 1.6694,                 1.7262,                 1.0001,              0.0014921,              0.0014921,              0.0014921
                    109,                 1.4132,                0.83343,                0.93676,                0.78297,                0.44704,                0.58541,                0.31819,                 1.6694,                 1.7262,                 1.0001,              0.0014904,              0.0014904,              0.0014904
                    110,                 1.3734,                0.84147,                0.91663,                 0.7849,                0.39405,                0.56568,                0.29232,                  1.681,                 1.9708,                  1.002,              0.0014888,              0.0014888,              0.0014888
                    111,                  1.297,                0.83773,                 0.9111,                 0.7849,                0.39405,                0.56568,                0.29232,                  1.681,                 1.9708,                  1.002,              0.0014871,              0.0014871,              0.0014871
                    112,                 1.3235,                0.85049,                0.92593,                 0.7603,                0.31755,                0.49966,                0.24262,                 1.7188,                 2.2565,                 1.0238,              0.0014855,              0.0014855,              0.0014855
                    113,                  1.359,                 0.8618,                0.93258,                 0.7603,                0.31755,                0.49966,                0.24262,                 1.7188,                 2.2565,                 1.0238,              0.0014838,              0.0014838,              0.0014838
                    114,                 1.3695,                0.78654,                0.90393,                0.80619,                0.24313,                0.45383,                0.23076,                 1.6849,                 2.3811,                 1.0254,              0.0014822,              0.0014822,              0.0014822
                    115,                 1.3412,                 0.7965,                0.92402,                0.80619,                0.24313,                0.45383,                0.23076,                 1.6849,                 2.3811,                 1.0254,              0.0014805,              0.0014805,              0.0014805
                    116,                 1.4129,                0.81133,                0.89846,                0.78771,                0.21366,                0.38585,                0.20385,                 1.6982,                 2.5556,                 1.0408,              0.0014789,              0.0014789,              0.0014789
                    117,                 1.4224,                0.80953,                0.91808,                0.78771,                0.21366,                0.38585,                0.20385,                 1.6982,                 2.5556,                 1.0408,              0.0014772,              0.0014772,              0.0014772
                    118,                  1.376,                0.78942,                0.92512,                 0.8198,                0.21885,                0.41301,                0.19959,                 1.7539,                 2.3654,                 1.0516,              0.0014756,              0.0014756,              0.0014756
                    119,                 1.4386,                 0.8755,                0.92273,                 0.8198,                0.21885,                0.41301,                0.19959,                 1.7539,                 2.3654,                 1.0516,              0.0014739,              0.0014739,              0.0014739
                    120,                 1.3706,                0.78086,                0.92466,                0.64328,                0.45675,                0.55193,                 0.2778,                 1.7072,                 1.6799,                 1.0232,              0.0014723,              0.0014723,              0.0014723
                    121,                 1.3726,                0.76609,                0.91017,                0.64328,                0.45675,                0.55193,                 0.2778,                 1.7072,                 1.6799,                 1.0232,              0.0014706,              0.0014706,              0.0014706
                    122,                 1.4093,                0.79588,                0.90909,                0.62305,                0.54483,                0.60094,                0.31046,                 1.6921,                 1.3904,                 1.0067,               0.001469,               0.001469,               0.001469
                    123,                 1.4053,                0.79224,                0.91915,                0.62305,                0.54483,                0.60094,                0.31046,                 1.6921,                 1.3904,                 1.0067,              0.0014673,              0.0014673,              0.0014673
                    124,                 1.3075,                0.74023,                0.91758,                0.68261,                0.56465,                0.63316,                0.34422,                 1.5955,                 1.3255,                0.97892,              0.0014657,              0.0014657,              0.0014657
                    125,                 1.3439,                0.76579,                0.91422,                0.68261,                0.56465,                0.63316,                0.34422,                 1.5955,                 1.3255,                0.97892,               0.001464,               0.001464,               0.001464
                    126,                 1.3187,                 0.7805,                0.91702,                0.69103,                0.57208,                0.64173,                0.35346,                 1.5692,                 1.3505,                0.97244,              0.0014624,              0.0014624,              0.0014624
                    127,                 1.3397,                0.76464,                0.91091,                0.69103,                0.57208,                0.64173,                0.35346,                 1.5692,                 1.3505,                0.97244,              0.0014607,              0.0014607,              0.0014607
                    128,                 1.2664,                0.74939,                0.89975,                0.66334,                0.57344,                 0.6306,                0.34442,                 1.6089,                 1.3586,                 0.9822,              0.0014591,              0.0014591,              0.0014591
                    129,                 1.2843,                0.73026,                0.90857,                0.66334,                0.57344,                 0.6306,                0.34442,                 1.6089,                 1.3586,                 0.9822,              0.0014574,              0.0014574,              0.0014574
                    130,                 1.3343,                0.76663,                0.91681,                0.65877,                0.57813,                0.63411,                0.35095,                 1.6088,                 1.3705,                0.97946,              0.0014558,              0.0014558,              0.0014558
