                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8849,                 4.1112,                 2.2154,                      0,                      0,                      0,                      0,                 4.5215,                 3.7948,                 2.1549,                      0,                      0,                      0
                      2,                 4.6417,                 4.1592,                 1.9153,                      0,                      0,                      0,                      0,                 4.5223,                 3.7988,                 2.1484,              1.998e-05,              1.998e-05,              1.998e-05
                      3,                 4.3991,                 3.9743,                 2.0283,                      0,                      0,                      0,                      0,                 4.5484,                 3.8015,                 2.1569,             3.9921e-05,             3.9921e-05,             3.9921e-05
                      4,                 4.5068,                 3.9937,                 1.9207,                      0,                      0,                      0,                      0,                 4.5504,                 3.8051,                 2.1557,             5.9822e-05,             5.9822e-05,             5.9822e-05
                      5,                 4.5577,                   4.08,                 1.8923,                      0,                      0,                      0,                      0,                 4.5455,                 3.8072,                 2.1485,             7.9683e-05,             7.9683e-05,             7.9683e-05
                      6,                 4.8995,                 4.0694,                 2.0198,                      0,                      0,                      0,                      0,                 3.9756,                 3.7412,                 1.7083,             9.9505e-05,             9.9505e-05,             9.9505e-05
                      7,                 3.8894,                 3.8047,                 1.6311,                0.00333,                0.03922,                0.00178,                0.00061,                  3.574,                 3.6972,                 1.4824,             0.00011929,             0.00011929,             0.00011929
                      8,                 3.5577,                 3.7828,                 1.4477,                0.00333,                0.03922,                0.00179,                0.00062,                 3.5499,                 3.6933,                 1.4739,             0.00013903,             0.00013903,             0.00013903
                      9,                 3.6253,                 3.7298,                 1.4172,                0.00333,                0.03922,                0.00184,                0.00082,                 3.3171,                 3.6445,                 1.3278,             0.00015873,             0.00015873,             0.00015873
                     10,                 3.3078,                 3.6073,                 1.2785,                   0.01,                0.11765,                0.00586,                0.00153,                 2.9971,                  3.602,                 1.1741,              0.0001784,              0.0001784,              0.0001784
                     11,                  2.994,                 3.4135,                 1.1953,                0.01167,                0.13725,                0.00708,                0.00196,                 2.9355,                 3.5603,                 1.1144,             0.00019802,             0.00019802,             0.00019802
                     12,                   2.85,                 3.3469,                 1.2196,                0.02167,                 0.2549,                0.01465,                 0.0035,                 2.9016,                 3.5198,                 1.1109,              0.0002176,              0.0002176,              0.0002176
                     13,                 2.9188,                 3.0587,                 1.1221,                0.03167,                0.37255,                0.02723,                0.00543,                 2.7945,                 3.4712,                  1.082,             0.00023715,             0.00023715,             0.00023715
                     14,                 2.7021,                 2.9614,                  1.146,                0.03667,                0.43137,                0.03539,                0.00878,                  2.638,                 3.3992,                 1.0486,             0.00025665,             0.00025665,             0.00025665
                     15,                 2.7039,                 2.8057,                 1.1278,                  0.045,                0.52941,                0.05608,                 0.0142,                 2.4563,                   3.31,                 1.0062,             0.00027612,             0.00027612,             0.00027612
